Data_Type,p,mc,synmc,TargetType,Target,Metric,Synth_Family,rel_orig,rel_synth,reinforcement_ratio
hierarchical,18,2,1,Categorical,C6,F1,svm,0.9685531460740148,0.8685785622332235,0.89677945475059
hierarchical,18,2,1,Categorical,C6,Specificity,svm,0.9895263694883808,0.9525940624242781,0.9626767833552552
hierarchical,18,2,2,Categorical,C6,Accuracy,svm,0.968365237158784,0.8715796404147277,0.9000525906650383
hierarchical,18,2,2,Categorical,C6,F1,svm,0.9685531460740148,0.871217434840549,0.8995040059205718
hierarchical,18,2,2,Categorical,C6,Specificity,svm,0.9895263694883808,0.9527557703785122,0.9628402029054767
hierarchical,18,2,3,Categorical,C6,Accuracy,svm,0.968365237158784,0.8694340384681691,0.8978368957348342
hierarchical,18,2,3,Categorical,C6,F1,svm,0.9685531460740148,0.8692854848845367,0.8975093296719391
hierarchical,18,2,3,Categorical,C6,Specificity,svm,0.9895263694883808,0.9528656330405572,0.9629512284076083
hierarchical,18,2,4,Categorical,C6,Accuracy,svm,0.968365237158784,0.8740970149267537,0.9026522033064546
hierarchical,18,2,4,Categorical,C6,F1,svm,0.9685531460740148,0.8739627026284907,0.9023384066956552
hierarchical,18,2,4,Categorical,C6,Specificity,svm,0.9895263694883808,0.9555444054187827,0.9656583542213555
hierarchical,18,2,5,Categorical,C6,Accuracy,svm,0.968365237158784,0.8608985730962864,0.8890225919532093
hierarchical,18,2,5,Categorical,C6,F1,svm,0.9685531460740148,0.8607001849562279,0.8886452833745223
hierarchical,18,2,5,Categorical,C6,Specificity,svm,0.9895263694883808,0.9494601624695105,0.9595097126723506
hierarchical,18,4,1,Categorical,C3,Accuracy,svm,0.9243736787310654,0.8074992236779804,0.873563627197256
hierarchical,18,4,1,Categorical,C3,F1,svm,0.9232161723933842,0.805134495348271,0.8720974777348264
hierarchical,18,4,1,Categorical,C3,Specificity,svm,0.9777362210993926,0.9326503761826865,0.9538875169562498
hierarchical,18,4,2,Categorical,C3,Accuracy,svm,0.9243736787310654,0.8035301196704716,0.8692697965756859
hierarchical,18,4,2,Categorical,C3,F1,svm,0.9232161723933842,0.8014381561405411,0.8680937142412263
