dataset,synth_method,synth_seed,Synth_Family,Metric,best_orig_models,best_synth_models,n_best_orig,n_best_synth,top1_agreement,synthetic_best_is_same_family,original_best_is_synth_family,synth_family_rank_orig,synth_family_rank_synth,spearman_rho,kendall_tau,ranking_reversal,reversal_to_synth_family,synth_family_becomes_winner,synth_family_rank_change
GermanCredit,cartsyn,synmc2,cart,Specificity,cartpred,cartpred,1,1,TRUE,TRUE,TRUE,1,1,0.8,0.6666666666666667,FALSE,FALSE,FALSE,0
GermanCredit,cartsyn,synmc3,cart,Accuracy,parmpred,cartpred,1,1,FALSE,TRUE,FALSE,3,1,0.4,0.33333333333333337,TRUE,TRUE,TRUE,-2
GermanCredit,cartsyn,synmc3,cart,F1,parmpred,svmpred,1,1,FALSE,FALSE,FALSE,4,4,0.4,0.33333333333333337,TRUE,FALSE,FALSE,0
GermanCredit,cartsyn,synmc3,cart,Specificity,cartpred,cartpred,1,1,TRUE,TRUE,TRUE,1,1,0.8,0.6666666666666667,FALSE,FALSE,FALSE,0
GermanCredit,cartsyn,synmc4,cart,Accuracy,parmpred,parmpred,1,1,TRUE,FALSE,FALSE,3,2,0.8,0.6666666666666667,FALSE,FALSE,FALSE,-1
GermanCredit,cartsyn,synmc4,cart,F1,parmpred,parmpred,1,1,TRUE,FALSE,FALSE,4,3,0.4,0.33333333333333337,FALSE,FALSE,FALSE,-1
GermanCredit,cartsyn,synmc4,cart,Specificity,cartpred,bnpred,1,1,FALSE,FALSE,TRUE,1,2,0.4,0.33333333333333337,TRUE,FALSE,FALSE,1
GermanCredit,cartsyn,synmc5,cart,Accuracy,parmpred,cartpred,1,1,FALSE,TRUE,FALSE,3,1,0.4,0.33333333333333337,TRUE,TRUE,TRUE,-2
GermanCredit,cartsyn,synmc5,cart,F1,parmpred,parmpred,1,1,TRUE,FALSE,FALSE,4,4,1,1,FALSE,FALSE,FALSE,0
GermanCredit,cartsyn,synmc5,cart,Specificity,cartpred,cartpred,1,1,TRUE,TRUE,TRUE,1,1,0.8,0.6666666666666667,FALSE,FALSE,FALSE,0
GermanCredit,parmsyn,synmc1,parm,Accuracy,parmpred,parmpred,1,1,TRUE,TRUE,TRUE,1,1,0.8,0.6666666666666667,FALSE,FALSE,FALSE,0
GermanCredit,parmsyn,synmc1,parm,F1,parmpred,parmpred,1,1,TRUE,TRUE,TRUE,1,1,0.8,0.6666666666666667,FALSE,FALSE,FALSE,0
GermanCredit,parmsyn,synmc1,parm,Specificity,cartpred,cartpred,1,1,TRUE,FALSE,FALSE,2,2,1,1,FALSE,FALSE,FALSE,0
GermanCredit,parmsyn,synmc2,parm,Accuracy,parmpred,parmpred,1,1,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,0
GermanCredit,parmsyn,synmc2,parm,F1,parmpred,parmpred,1,1,TRUE,TRUE,TRUE,1,1,0.8,0.6666666666666667,FALSE,FALSE,FALSE,0
GermanCredit,parmsyn,synmc2,parm,Specificity,cartpred,cartpred,1,1,TRUE,FALSE,FALSE,2,3,0.8,0.6666666666666667,FALSE,FALSE,FALSE,1
GermanCredit,parmsyn,synmc3,parm,Accuracy,parmpred,parmpred,1,1,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,0
GermanCredit,parmsyn,synmc3,parm,F1,parmpred,parmpred,1,1,TRUE,TRUE,TRUE,1,1,0.4,0.33333333333333337,FALSE,FALSE,FALSE,0
GermanCredit,parmsyn,synmc3,parm,Specificity,cartpred,bnpred,1,1,FALSE,FALSE,FALSE,2,3,0.4,0.33333333333333337,TRUE,FALSE,FALSE,1
GermanCredit,parmsyn,synmc4,parm,Accuracy,parmpred,parmpred,1,1,TRUE,TRUE,TRUE,1,1,0.8,0.6666666666666667,FALSE,FALSE,FALSE,0
GermanCredit,parmsyn,synmc4,parm,F1,parmpred,parmpred,1,1,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,0
GermanCredit,parmsyn,synmc4,parm,Specificity,cartpred,cartpred,1,1,TRUE,FALSE,FALSE,2,3,0.8,0.6666666666666667,FALSE,FALSE,FALSE,1
GermanCredit,parmsyn,synmc5,parm,Accuracy,parmpred,parmpred,1,1,TRUE,TRUE,TRUE,1,1,0.8,0.6666666666666667,FALSE,FALSE,FALSE,0
GermanCredit,parmsyn,synmc5,parm,F1,parmpred,parmpred,1,1,TRUE,TRUE,TRUE,1,1,0.8,0.6666666666666667,FALSE,FALSE,FALSE,0
GermanCredit,parmsyn,synmc5,parm,Specificity,cartpred,cartpred,1,1,TRUE,FALSE,FALSE,2,2,1,1,FALSE,FALSE,FALSE,0
GermanCredit,svmsyn,synmc1,svm,Accuracy,parmpred,parmpred,1,1,TRUE,FALSE,FALSE,4,2,0.4,0.33333333333333337,FALSE,FALSE,FALSE,-2
GermanCredit,svmsyn,synmc1,svm,F1,parmpred,parmpred,1,1,TRUE,FALSE,FALSE,3,2,0.8,0.6666666666666667,FALSE,FALSE,FALSE,-1
GermanCredit,svmsyn,synmc1,svm,Specificity,cartpred,cartpred,1,1,TRUE,FALSE,FALSE,4,4,0.8,0.6666666666666667,FALSE,FALSE,FALSE,0
GermanCredit,svmsyn,synmc2,svm,Accuracy,parmpred,svmpred,1,1,FALSE,TRUE,FALSE,4,1,-0.2,0,TRUE,TRUE,TRUE,-3
GermanCredit,svmsyn,synmc2,svm,F1,parmpred,svmpred,1,1,FALSE,TRUE,FALSE,3,1,0.4,0.33333333333333337,TRUE,TRUE,TRUE,-2
GermanCredit,svmsyn,synmc2,svm,Specificity,cartpred,cartpred,1,1,TRUE,FALSE,FALSE,4,4,0.8,0.6666666666666667,FALSE,FALSE,FALSE,0
GermanCredit,svmsyn,synmc3,svm,Accuracy,parmpred,bnpred,1,1,FALSE,FALSE,FALSE,4,3,0.6000000000000001,0.33333333333333337,TRUE,FALSE,FALSE,-1
GermanCredit,svmsyn,synmc3,svm,F1,parmpred,bnpred,1,1,FALSE,FALSE,FALSE,3,3,0.8,0.6666666666666667,TRUE,FALSE,FALSE,0
GermanCredit,svmsyn,synmc3,svm,Specificity,cartpred,cartpred,1,1,TRUE,FALSE,FALSE,4,2,0.4,0.33333333333333337,FALSE,FALSE,FALSE,-2
GermanCredit,svmsyn,synmc4,svm,Accuracy,parmpred,svmpred,1,1,FALSE,TRUE,FALSE,4,1,-0.4,-0.33333333333333337,TRUE,TRUE,TRUE,-3
GermanCredit,svmsyn,synmc4,svm,F1,parmpred,svmpred,1,1,FALSE,TRUE,FALSE,3,1,0,0,TRUE,TRUE,TRUE,-2
GermanCredit,svmsyn,synmc4,svm,Specificity,cartpred,bnpred,1,1,FALSE,FALSE,FALSE,4,4,0.4,0.33333333333333337,TRUE,FALSE,FALSE,0
GermanCredit,svmsyn,synmc5,svm,Accuracy,parmpred,parmpred,1,1,TRUE,FALSE,FALSE,4,3,0.8,0.6666666666666667,FALSE,FALSE,FALSE,-1
GermanCredit,svmsyn,synmc5,svm,F1,parmpred,parmpred,1,1,TRUE,FALSE,FALSE,3,2,0.4,0.33333333333333337,FALSE,FALSE,FALSE,-1
GermanCredit,svmsyn,synmc5,svm,Specificity,cartpred,bnpred,1,1,FALSE,FALSE,FALSE,4,4,0.4,0.33333333333333337,TRUE,FALSE,FALSE,0
