Data_Type,p,TargetType,Metric,Synth_Family,Pred_Family,same_family,n_clusters,estimate,std_error,conf_low,conf_high,p_boot
hierarchical,6,Categorical,Accuracy,bn,bn,TRUE,5,0.19478382528666388,0.023345276889517104,0.15778390673680856,0.2450117326881388,4e-4
hierarchical,6,Categorical,Accuracy,bn,cart,FALSE,5,-0.003969333772528498,6.913771675944235e-4,-0.005255069350878123,-0.002515006089018105,4e-4
hierarchical,6,Categorical,Accuracy,bn,parm,FALSE,5,0.2055813250740048,0.03539290737964397,0.1415534882853732,0.2788270782142208,4e-4
hierarchical,6,Categorical,Accuracy,bn,svm,FALSE,5,0.06944656970765013,0.016703559246146683,0.03906420512912791,0.10274607151601405,4e-4
hierarchical,6,Categorical,Accuracy,cart,bn,FALSE,5,0.0030028431850947818,0.0013646577687034278,4.572219021380015e-4,0.005548464468051562,0.0328
hierarchical,6,Categorical,Accuracy,cart,cart,TRUE,5,0,0,0,0,1
hierarchical,6,Categorical,Accuracy,cart,parm,FALSE,5,0.0030819600325386843,0.0012751684407375607,1.662397924140177e-4,0.004814941182894484,0.0136
hierarchical,6,Categorical,Accuracy,cart,svm,FALSE,5,2.2048637812379653e-4,7.80471325338627e-4,-0.0014022092317932094,0.0016555759119585673,0.7048
hierarchical,6,Categorical,Accuracy,parm,bn,FALSE,5,0.04330526282247306,0.03010748888056135,-0.012093793781022063,0.10026054038371739,0.1472
hierarchical,6,Categorical,Accuracy,parm,cart,FALSE,5,-0.04401301471078422,0.007995274686202546,-0.06048620122113173,-0.029838329155822442,4e-4
hierarchical,6,Categorical,Accuracy,parm,parm,TRUE,5,0.23922556017516564,0.038525669347914765,0.1702580636339296,0.31765221659383047,4e-4
hierarchical,6,Categorical,Accuracy,parm,svm,FALSE,5,0.05484851810746029,0.01405153842006456,0.0287437613584935,0.08272764219408406,4e-4
hierarchical,6,Categorical,Accuracy,svm,bn,FALSE,5,0.02920641745006344,0.029988566336096197,-0.038505927872735615,0.07969930599267533,0.3416
hierarchical,6,Categorical,Accuracy,svm,cart,FALSE,5,-0.006705068697209278,0.002364783261475136,-0.012080024880230295,-0.0036728608219555926,4e-4
hierarchical,6,Categorical,Accuracy,svm,parm,FALSE,5,0.07876935544371623,0.032290359628544665,0.014179329298361805,0.13912121116310464,0.0188
hierarchical,6,Categorical,Accuracy,svm,svm,TRUE,5,0.024077200032488914,0.020592989299005344,-0.017411235703364995,0.0663168770593032,0.2556
hierarchical,6,Categorical,F1,bn,bn,TRUE,5,0.1943550841367663,0.0267199150232137,0.14361694525554877,0.247302823726663,4e-4
hierarchical,6,Categorical,F1,bn,cart,FALSE,5,-0.0065707430929198155,0.0011363781631495843,-0.008929705717524817,-0.004476956738890937,4e-4
hierarchical,6,Categorical,F1,bn,parm,FALSE,5,0.21636701474210032,0.04060278985926098,0.14143632616044427,0.2976906168163121,4e-4
hierarchical,6,Categorical,F1,bn,svm,FALSE,5,0.06970548644168555,0.018069320358175302,0.03650125859933277,0.10593893860005109,4e-4
hierarchical,6,Categorical,F1,cart,bn,FALSE,5,7.520471642807684e-4,0.0030528827973244754,-0.00593942481913914,0.005856594851768616,0.7224
hierarchical,6,Categorical,F1,cart,cart,TRUE,5,0,0,0,0,1
hierarchical,6,Categorical,F1,cart,parm,FALSE,5,0.002799426315244385,0.0016957458390771877,-8.097676134334273e-4,0.005592315843536291,0.1176
hierarchical,6,Categorical,F1,cart,svm,FALSE,5,-1.1865241063162402e-4,0.0010001871689914186,-0.0019757069236895535,0.0019606469885365316,0.892
hierarchical,6,Categorical,F1,parm,bn,FALSE,5,-0.013669101177245974,0.029953357414279833,-0.07119677767906071,0.043858575324568765,0.59
hierarchical,6,Categorical,F1,parm,cart,FALSE,5,-0.06814334632499722,0.013964476551268574,-0.09543332284127669,-0.0442016891750767,4e-4
hierarchical,6,Categorical,F1,parm,parm,TRUE,5,0.24820878674241187,0.04397539303364969,0.16547824535862973,0.3371520520298003,4e-4
hierarchical,6,Categorical,F1,parm,svm,FALSE,5,0.04029211419358833,0.014875393706701854,0.011482558859487207,0.06910166952768945,0.0056
hierarchical,6,Categorical,F1,svm,bn,FALSE,5,0.02227495871655833,0.031135812003313605,-0.0435625510917261,0.07755480755003173,0.4716
hierarchical,6,Categorical,F1,svm,cart,FALSE,5,-0.007969532820395807,0.0030164203173052434,-0.014800002001240825,-0.00429123933920365,4e-4
hierarchical,6,Categorical,F1,svm,parm,FALSE,5,0.07978466606521509,0.033844917016462216,0.013748950308230888,0.14310818607787762,0.022
hierarchical,6,Categorical,F1,svm,svm,TRUE,5,0.026092516045159744,0.022225024399746985,-0.016554820661124455,0.07228390264781373,0.2288
hierarchical,6,Categorical,Specificity,bn,bn,TRUE,5,0.07264469990005654,0.017641523509701145,0.042050485218737214,0.10961853979331519,4e-4
hierarchical,6,Categorical,Specificity,bn,cart,FALSE,5,-0.007708764348349245,0.00463698362185385,-0.01808223744851996,-0.0015032482043477971,4e-4
hierarchical,6,Categorical,Specificity,bn,parm,FALSE,5,0.08954251988991412,0.015938152922136125,0.05991211645100581,0.11917292332882241,4e-4
hierarchical,6,Categorical,Specificity,bn,svm,FALSE,5,0.026721766985463413,0.007708382457308975,0.013157197829315702,0.042764499556741574,4e-4
hierarchical,6,Categorical,Specificity,cart,bn,FALSE,5,0.004934086185574007,0.002882276710077377,8.570704345584268e-4,0.011272364729637248,0.0016
hierarchical,6,Categorical,Specificity,cart,cart,TRUE,5,0,0,0,0,1
hierarchical,6,Categorical,Specificity,cart,parm,FALSE,5,0.004611279604086882,0.0024142192256323886,0.0011215557188481373,0.009931735455564228,4e-4
hierarchical,6,Categorical,Specificity,cart,svm,FALSE,5,-3.524518139401526e-4,4.2084505358083436e-4,-0.0011600566584886235,4.787732685804984e-4,0.4468
hierarchical,6,Categorical,Specificity,parm,bn,FALSE,5,0.014203608134605744,0.007444957553924304,0.0011770670460162064,0.029049273750880733,0.0368
hierarchical,6,Categorical,Specificity,parm,cart,FALSE,5,-0.024790591577200705,0.007855594117504989,-0.042131058501980984,-0.014485475930064207,4e-4
hierarchical,6,Categorical,Specificity,parm,parm,TRUE,5,0.10251551734718413,0.019104880435496824,0.06894240369892407,0.14019747909381472,4e-4
hierarchical,6,Categorical,Specificity,parm,svm,FALSE,5,0.005408374007789206,0.00563285011569235,-0.004592520439525146,0.01728549865604661,0.3452
hierarchical,6,Categorical,Specificity,svm,bn,FALSE,5,0.019398851545545263,0.015781047416967547,-0.013154600643150615,0.05164545266639354,0.2876
hierarchical,6,Categorical,Specificity,svm,cart,FALSE,5,-0.0019301412261180436,5.925403294039089e-4,-0.003069543314773416,-7.907391374626712e-4,4e-4
hierarchical,6,Categorical,Specificity,svm,parm,FALSE,5,0.03176359980550915,0.01298026735897086,0.00457942510875041,0.05256673269316739,0.0176
hierarchical,6,Categorical,Specificity,svm,svm,TRUE,5,0.007244206694393433,0.007703625805478027,-0.008972466077909191,0.02061356736034898,0.3672
hierarchical,6,Continuous,MAE,cart,cart,TRUE,5,0,0,0,0,1
hierarchical,6,Continuous,MAE,cart,parm,FALSE,5,0.0019353782378116352,0.001965568369057172,-0.0020578402079142353,0.0054763118389659785,0.3404
