Case,data_type,best_model,best_score,svm_score,absolute_gap,svm_share_of_best,reinforcement_ratio,result,ratio_label
Original,original,cart,0.3704761904761905,0.27263736263736266,0.09783882783882786,0.735910618944038,1,Original reference,relative score = 0.736
Seed 1,synthetic,cart,0.12750965250965252,0.109507722007722,0.01800193050193051,0.8588190764572293,1.167015469473118,R >= 1,R = 1.167
Seed 2,synthetic,cart,0.1803221288515406,0.11352941176470588,0.06679271708683471,0.6295922330097088,0.8555281263818615,R < 1,R = 0.856
Seed 3,synthetic,cart,0.15254805149003703,0.10165755598659848,0.05089049550343855,0.6663969483296729,0.9055406066648276,R < 1,R = 0.906
Seed 4,synthetic,cart,0.1345565749235474,0.09215086646279308,0.04240570846075431,0.684848484848485,0.9306136740235896,R < 1,R = 0.931
Seed 5,synthetic,cart,0.09836477987421384,0.0737286612758311,0.024636118598382745,0.7495432955791013,1.0185249081670067,R >= 1,R = 1.019
