"Data_Type","TargetType","Synthesis_Label","Metric","Prediction_Model","Median"
"hierarchical","Continuous","CART Syn.","MAE","cartpred",0.0807748378358475
"hierarchical","Continuous","CART Syn.","MAE","parmpred",0.633749114209667
"hierarchical","Continuous","CART Syn.","MAE","svmpred",0.249151472870631
"hierarchical","Continuous","CART Syn.","RMSE","cartpred",0.164783392596105
"hierarchical","Continuous","CART Syn.","RMSE","parmpred",0.818777749491047
"hierarchical","Continuous","CART Syn.","RMSE","svmpred",0.359667057804466
"hierarchical","Continuous","CART Syn.","R_squared","cartpred",0.995468986254597
"hierarchical","Continuous","CART Syn.","R_squared","parmpred",0.886804696537731
"hierarchical","Continuous","CART Syn.","R_squared","svmpred",0.981309670866462
"hierarchical","Continuous","CART Syn.","Specificity","bnpred",0.959402868179984
"hierarchical","Continuous","Simulated Data","Accuracy","bnpred",0.882180967441299
"hierarchical","Continuous","Simulated Data","F1","bnpred",0.880439359120348
"hierarchical","Continuous","Simulated Data","MAE","cartpred",0.0515747549971444
"hierarchical","Continuous","Simulated Data","MAE","parmpred",0.626667799841193
"hierarchical","Continuous","Simulated Data","MAE","svmpred",0.216753075815004
"hierarchical","Continuous","Simulated Data","RMSE","cartpred",0.0820587549517049
"hierarchical","Continuous","Simulated Data","RMSE","parmpred",0.809739560941105
"hierarchical","Continuous","Simulated Data","RMSE","svmpred",0.322942928755131
"hierarchical","Continuous","Simulated Data","R_squared","cartpred",0.998973276106415
"hierarchical","Continuous","Simulated Data","R_squared","parmpred",0.886124776094556
"hierarchical","Continuous","Simulated Data","R_squared","svmpred",0.980793552148486
"hierarchical","Continuous","Simulated Data","Specificity","bnpred",0.960151541070597
"hierarchical","Continuous","Parametric Syn.","Accuracy","bnpred",0.730373127864609
"hierarchical","Continuous","Parametric Syn.","F1","bnpred",0.711783910528306
"hierarchical","Continuous","Parametric Syn.","MAE","cartpred",0.914384004027042
"hierarchical","Continuous","Parametric Syn.","MAE","parmpred",0.840317889338561
"hierarchical","Continuous","Parametric Syn.","MAE","svmpred",0.848168497398861
"hierarchical","Continuous","Parametric Syn.","RMSE","cartpred",1.15377813158719
"hierarchical","Continuous","Parametric Syn.","RMSE","parmpred",1.06717319256992
"hierarchical","Continuous","Parametric Syn.","RMSE","svmpred",1.08723540071935
"hierarchical","Continuous","Parametric Syn.","R_squared","cartpred",0.730512570666689
"hierarchical","Continuous","Parametric Syn.","R_squared","parmpred",0.800870718825902
"hierarchical","Continuous","Parametric Syn.","R_squared","svmpred",0.791465338709169
"hierarchical","Continuous","Parametric Syn.","Specificity","bnpred",0.781319755076536
"hierarchical","Continuous","SVM Syn.","Accuracy","bnpred",0.798827785573648
"hierarchical","Continuous","SVM Syn.","F1","bnpred",0.791787503379736
"hierarchical","Continuous","SVM Syn.","MAE","cartpred",0.296491794873188
"hierarchical","Continuous","SVM Syn.","MAE","parmpred",0.676249104504675
"hierarchical","Continuous","SVM Syn.","MAE","svmpred",0.381217460376129
"hierarchical","Continuous","SVM Syn.","RMSE","cartpred",0.538353732596899
"hierarchical","Continuous","SVM Syn.","RMSE","parmpred",0.88904213835417
"hierarchical","Continuous","SVM Syn.","RMSE","svmpred",0.586702453849343
"hierarchical","Continuous","SVM Syn.","R_squared","cartpred",0.945952969198798
"hierarchical","Continuous","SVM Syn.","R_squared","parmpred",0.84490387793623
"hierarchical","Continuous","SVM Syn.","R_squared","svmpred",0.917680272516736
"hierarchical","Continuous","SVM Syn.","Specificity","bnpred",0.914426659745278
"linear","Categorical","BN Syn.","Accuracy","bnpred",0.614322583972087
"linear","Categorical","BN Syn.","Accuracy","cartpred",0.616002084009037
"linear","Categorical","BN Syn.","Accuracy","parmpred",0.619000586257165
"linear","Categorical","BN Syn.","Accuracy","svmpred",0.616200261650065
"linear","Categorical","BN Syn.","F1","bnpred",0.578328637033818
"linear","Categorical","BN Syn.","F1","cartpred",0.573526781352397
"linear","Categorical","BN Syn.","F1","parmpred",0.580483150449293
"linear","Categorical","BN Syn.","F1","svmpred",0.573645440636914
"linear","Categorical","BN Syn.","Specificity","bnpred",0.851273499559745
"linear","Categorical","BN Syn.","Specificity","cartpred",0.853548022817701
"linear","Categorical","BN Syn.","Specificity","parmpred",0.856892836627421
"linear","Categorical","BN Syn.","Specificity","svmpred",0.853965995576171
"linear","Categorical","CART Syn.","Accuracy","bnpred",0.605185908001572
"linear","Categorical","CART Syn.","Accuracy","cartpred",0.666698516524629
"linear","Categorical","CART Syn.","Accuracy","parmpred",0.672295021320509
"linear","Categorical","CART Syn.","Accuracy","svmpred",0.671601716725429
"linear","Categorical","CART Syn.","F1","bnpred",0.575263971832875
"linear","Categorical","CART Syn.","F1","cartpred",0.629163114952125
"linear","Categorical","CART Syn.","F1","parmpred",0.637150142351648
"linear","Categorical","CART Syn.","F1","svmpred",0.63292496576312
"linear","Categorical","CART Syn.","Specificity","bnpred",0.84629218441975
"linear","Categorical","CART Syn.","Specificity","cartpred",0.879707184083122
"linear","Categorical","CART Syn.","Specificity","parmpred",0.882823527957202
"linear","Categorical","CART Syn.","Specificity","svmpred",0.879800364099174
"linear","Categorical","Simulated Data","Accuracy","bnpred",0.625290519267519
"linear","Categorical","Simulated Data","Accuracy","cartpred",0.664301700801251
"linear","Categorical","Simulated Data","Accuracy","parmpred",0.743397847999462
"linear","Categorical","Simulated Data","Accuracy","svmpred",0.710402442200611
"linear","Categorical","Simulated Data","F1","bnpred",0.591152015129073
"linear","Categorical","Simulated Data","F1","cartpred",0.622335941388868
"linear","Categorical","Simulated Data","F1","parmpred",0.736619195791754
"linear","Categorical","Simulated Data","F1","svmpred",0.665285869033576
"linear","Categorical","Simulated Data","Specificity","bnpred",0.842422670509663
"linear","Categorical","Simulated Data","Specificity","cartpred",0.877987323996561
"linear","Categorical","Simulated Data","Specificity","parmpred",0.913334637223788
"linear","Categorical","Simulated Data","Specificity","svmpred",0.890387417239576
"linear","Categorical","Parametric Syn.","Accuracy","bnpred",0.599554353323976
"linear","Categorical","Parametric Syn.","Accuracy","cartpred",0.659298565749641
"linear","Categorical","Parametric Syn.","Accuracy","parmpred",0.701399890574973
"linear","Categorical","Parametric Syn.","Accuracy","svmpred",0.688301487875372
"linear","Categorical","Parametric Syn.","F1","bnpred",0.575419408016463
"linear","Categorical","Parametric Syn.","F1","cartpred",0.626961580411433
"linear","Categorical","Parametric Syn.","F1","parmpred",0.668384508518319
"linear","Categorical","Parametric Syn.","F1","svmpred",0.659536754042208
