dataset,synth_method,synth_seed,Synth_Family,Metric,Prediction_Model,Pred_Family,value_synth,rank_synth,best_synth,value_orig,rank_orig,best_orig
Adult,parmsyn,synmc4,parm,Specificity,bnpred,bn,0.7275395036867599,3,FALSE,0.554059938390221,4,FALSE
Adult,parmsyn,synmc4,parm,F1,bnpred,bn,0.88479605754637,3,FALSE,0.8893809930154937,4,FALSE
Adult,parmsyn,synmc4,parm,Accuracy,svmpred,svm,0.8114846626050093,4,FALSE,0.8468932036487207,2,FALSE
Adult,parmsyn,synmc4,parm,Specificity,svmpred,svm,0.6559960841899167,4,FALSE,0.5958931950381947,1,TRUE
Adult,parmsyn,synmc4,parm,F1,svmpred,svm,0.862118258156868,4,FALSE,0.9012413092343875,2,FALSE
Adult,parmsyn,synmc5,parm,Accuracy,parmpred,parm,0.8749419582657892,1,TRUE,0.8459652063957693,3,FALSE
Adult,parmsyn,synmc5,parm,Specificity,parmpred,parm,0.7887261931103582,1,TRUE,0.5831103276909934,3,FALSE
Adult,parmsyn,synmc5,parm,F1,parmpred,parm,0.9067061254735663,1,TRUE,0.9009840986832458,3,FALSE
Adult,parmsyn,synmc5,parm,Accuracy,cartpred,cart,0.8554139181891287,2,FALSE,0.8533916080918345,1,TRUE
Adult,parmsyn,synmc5,parm,Specificity,cartpred,cart,0.7566300086304913,2,FALSE,0.5864427709534079,2,FALSE
Adult,parmsyn,synmc5,parm,F1,cartpred,cart,0.8923043322350817,2,FALSE,0.9061066843827918,1,TRUE
Adult,parmsyn,synmc5,parm,Accuracy,bnpred,bn,0.840279699244974,4,FALSE,0.828332417254344,4,FALSE
Adult,parmsyn,synmc5,parm,Specificity,bnpred,bn,0.7220435633871757,4,FALSE,0.554059938390221,4,FALSE
Adult,parmsyn,synmc5,parm,F1,bnpred,bn,0.8817626190890547,4,FALSE,0.8893809930154937,4,FALSE
Adult,parmsyn,synmc5,parm,Accuracy,svmpred,svm,0.8528273210868077,3,FALSE,0.8468932036487207,2,FALSE
Adult,parmsyn,synmc5,parm,Specificity,svmpred,svm,0.7472367580387616,3,FALSE,0.5958931950381947,1,TRUE
Adult,parmsyn,synmc5,parm,F1,svmpred,svm,0.8907668575800333,3,FALSE,0.9012413092343875,2,FALSE
