Synth_Family,Synthesis_Model,Data_Type,p,Metric,TargetType,n_cases,n_reversals,reversal_rate,n_reversals_to_synth_family,share_reversals_to_synth_family,n_synth_family_becomes_winner,synth_family_becomes_winner_rate,mean_synth_family_rank_change,top1_agreement,spearman_rho,kendall_tau
parm,parmlinsyn,parametric,12,MAE,Continuous,75,0,0,0,NA,0,0,0,1,1,1
parm,parmlinsyn,parametric,12,RMSE,Continuous,75,0,0,0,NA,0,0,0,1,1,1
parm,parmlinsyn,parametric,12,R_squared,Continuous,75,0,0,0,NA,0,0,0,1,1,1
parm,parmlinsyn,parametric,12,Specificity,Categorical,75,3,0.04,3,1,3,0.04,-0.04,0.96,0.92,0.9066666666666667
parm,parmlinsyn,parametric,18,Accuracy,Categorical,75,2,0.02666666666666667,0,0,0,0,0.02666666666666667,0.9733333333333334,0.9946666666666667,0.9911111111111112
parm,parmlinsyn,parametric,18,F1,Categorical,75,2,0.02666666666666667,0,0,0,0,0.02666666666666667,0.9733333333333334,0.9946666666666667,0.9911111111111112
parm,parmlinsyn,parametric,18,MAE,Continuous,75,0,0,0,NA,0,0,0,1,1,1
parm,parmlinsyn,parametric,18,RMSE,Continuous,75,0,0,0,NA,0,0,0,1,1,1
parm,parmlinsyn,parametric,18,R_squared,Continuous,75,0,0,0,NA,0,0,0,1,1,1
parm,parmlinsyn,parametric,18,Specificity,Categorical,75,3,0.04,0,0,0,0,0.04,0.96,0.992,0.9866666666666667
svm,svmhiersyn,hierarchical,6,Accuracy,Categorical,75,46,0.6133333333333333,41,0.8913043478260869,41,0.5466666666666666,-0.5066666666666667,0.38666666666666666,0.7813333333333333,0.6577777777777778
svm,svmhiersyn,hierarchical,6,F1,Categorical,75,45,0.6,44,0.9777777777777777,44,0.5866666666666667,-0.5466666666666666,0.4,0.7893333333333333,0.6577777777777778
svm,svmhiersyn,hierarchical,6,MAE,Continuous,75,0,0,0,NA,0,0,0.06666666666666667,1,0.9666666666666667,0.9555555555555556
svm,svmhiersyn,hierarchical,6,RMSE,Continuous,75,0,0,0,NA,0,0,0,1,1,1
svm,svmhiersyn,hierarchical,6,R_squared,Continuous,75,0,0,0,NA,0,0,0,1,1,1
svm,svmhiersyn,hierarchical,6,Specificity,Categorical,75,41,0.5466666666666666,40,0.975609756097561,40,0.5333333333333333,-0.44,0.4533333333333333,0.8,0.6755555555555556
svm,svmhiersyn,hierarchical,12,Accuracy,Categorical,75,63,0.84,62,0.9841269841269841,62,0.8266666666666667,-0.8133333333333334,0.16,0.656,0.48000000000000004
svm,svmhiersyn,hierarchical,12,F1,Categorical,75,64,0.8533333333333334,63,0.984375,63,0.84,-0.8266666666666667,0.14666666666666667,0.6373333333333334,0.45333333333333337
svm,svmhiersyn,hierarchical,12,MAE,Continuous,75,17,0.22666666666666666,17,1,17,0.22666666666666666,-0.22666666666666666,0.7733333333333333,0.8866666666666667,0.8488888888888889
svm,svmhiersyn,hierarchical,12,RMSE,Continuous,75,30,0.4,30,1,30,0.4,-0.4,0.6,0.8,0.7333333333333334
svm,svmhiersyn,hierarchical,12,R_squared,Continuous,75,30,0.4,30,1,30,0.4,-0.4,0.6,0.8,0.7333333333333334
svm,svmhiersyn,hierarchical,12,Specificity,Categorical,75,63,0.84,60,0.9523809523809523,60,0.8,-0.7866666666666666,0.16,0.632,0.45333333333333337
svm,svmhiersyn,hierarchical,18,Accuracy,Categorical,75,58,0.7733333333333333,58,1,58,0.7733333333333333,-0.8,0.22666666666666666,0.6756397779494323,0.5671404520791032
svm,svmhiersyn,hierarchical,18,F1,Categorical,75,58,0.7733333333333333,58,1,58,0.7733333333333333,-0.8,0.22666666666666666,0.6489731112827656,0.544918229856881
svm,svmhiersyn,hierarchical,18,MAE,Continuous,75,25,0.3333333333333333,25,1,25,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.8333333333333334,0.7777777777777778
svm,svmhiersyn,hierarchical,18,RMSE,Continuous,75,38,0.5066666666666667,38,1,38,0.5066666666666667,-0.5066666666666667,0.49333333333333335,0.7466666666666667,0.6622222222222223
svm,svmhiersyn,hierarchical,18,R_squared,Continuous,75,38,0.5066666666666667,38,1,38,0.5066666666666667,-0.5066666666666667,0.49333333333333335,0.7466666666666667,0.6622222222222223
svm,svmhiersyn,hierarchical,18,Specificity,Categorical,75,57,0.76,54,0.9473684210526315,54,0.72,-0.7333333333333333,0.24,0.647421140889508,0.5475217251352228
svm,svmlinsyn,parametric,6,Accuracy,Categorical,75,64,0.8533333333333334,27,0.421875,27,0.36,-0.31333333333333335,0.14666666666666667,0.20562182695141046,0.1870908671778237
svm,svmlinsyn,parametric,6,F1,Categorical,75,66,0.88,25,0.3787878787878788,25,0.3333333333333333,-0.38,0.12,0.10821637021355784,0.08243432247780073
svm,svmlinsyn,parametric,6,MAE,Continuous,75,75,1,21,0.28,21,0.28,-0.28,0,-0.8333333333333334,-0.7955555555555556
svm,svmlinsyn,parametric,6,RMSE,Continuous,75,75,1,23,0.30666666666666664,23,0.30666666666666664,-0.30666666666666664,0,-0.7933333333333333,-0.76
